,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch_60.pth,"0    0.732143
Name: accuracy, dtype: float64",0.6756756756756757,0.8928571428571429,0.7692307691817278,4.96,0.9173333333333332,1072.3785254447894,173.4636993408203,0.5534105534105535
1,best_model_epoch_59.pth,"0    0.785714
Name: accuracy, dtype: float64",0.7222222222222222,0.9285714285714286,0.8124999999507814,4.038461538461538,0.9326923076923076,1080.382977826335,183.18052673339844,0.6254960317460319
2,best_model_epoch_49.pth,"0    0.75
Name: accuracy, dtype: float64",0.6944444444444444,0.8928571428571429,0.7812499999507811,4.8,0.92,1067.6147524134542,183.18052673339844,0.570436507936508
3,best_model_epoch_48.pth,"0    0.714286
Name: accuracy, dtype: float64",0.6666666666666666,0.8571428571428571,0.7499999999507813,3.458333333333333,0.9423611111111112,1089.6734397303712,183.18052673339844,0.5384920634920635
4,best_model_epoch_47.pth,"0    0.767857
Name: accuracy, dtype: float64",0.7272727272727273,0.8571428571428571,0.7868852458519753,23.75,0.6041666666666666,1078.8239297353775,212.24850463867188,0.3766233766233766
5,best_model_epoch_42.pth,"0    0.75
Name: accuracy, dtype: float64",0.6944444444444444,0.8928571428571429,0.7812499999507811,5.04,0.916,1075.7830973975356,183.18052673339844,0.5679563492063493
6,best_model_epoch_38.pth,"0    0.732143
Name: accuracy, dtype: float64",0.6857142857142857,0.8571428571428571,0.7619047618553791,14.416666666666666,0.7597222222222223,1078.0686077588964,192.8560943603516,0.446530612244898
7,best_model_epoch_29.pth,"0    0.714286
Name: accuracy, dtype: float64",0.6666666666666666,0.8571428571428571,0.7499999999507813,14.25,0.7625,1099.8787768412951,192.8560943603516,0.4357142857142856
8,best_model_epoch_28.pth,"0    0.767857
Name: accuracy, dtype: float64",0.7419354838709677,0.8214285714285714,0.7796610168992818,3.869565217391304,0.9355072463768116,1092.1797356013706,241.46603393554688,0.570142089093702
9,best_model_epoch_27.pth,"0    0.767857
Name: accuracy, dtype: float64",0.7419354838709677,0.8214285714285714,0.7796610168992818,3.8260869565217392,0.936231884057971,1084.428330548253,241.46603393554688,0.5705837173579109
10,best_model_epoch_26.pth,"0    0.732143
Name: accuracy, dtype: float64",0.696969696969697,0.8214285714285714,0.7540983606060736,3.695652173913044,0.9384057971014492,1096.580565927889,222.0736389160156,0.5372474747474747
11,best_model_epoch_24.pth,"0    0.714286
Name: accuracy, dtype: float64",0.6764705882352942,0.8214285714285714,0.741935483821436,3.652173913043478,0.9391304347826088,1067.320505717103,212.3568115234375,0.5218487394957984
12,best_model_epoch_22.pth,"0    0.803571
Name: accuracy, dtype: float64",0.8148148148148148,0.7857142857142857,0.7999999999500165,3.954545454545455,0.9340909090909092,1082.5051791855255,280.2508239746094,0.5980158730158729
13,best_model_epoch_19.pth,"0    0.839286
Name: accuracy, dtype: float64",0.9166666666666666,0.7586206896551724,0.830188679195728,5.681818181818182,0.9053030303030304,1092.7356550912189,309.3187866210937,0.6295498084291188
14,best_model_epoch_18.pth,"0    0.714286
Name: accuracy, dtype: float64",0.6875,0.7857142857142857,0.7333333332835555,3.8181818181818175,0.9363636363636364,1092.695692356393,231.7491912841797,0.5058035714285714
15,best_model_epoch_17.pth,"0    0.767857
Name: accuracy, dtype: float64",0.7586206896551724,0.7857142857142857,0.7719298245114188,3.954545454545455,0.9340909090909092,1106.978906640603,260.8583984375,0.5567733990147783
16,best_model_epoch_16.pth,"0    0.803571
Name: accuracy, dtype: float64",0.8148148148148148,0.7857142857142857,0.7999999999500165,4.0,0.9333333333333332,1119.5255754388409,280.25079345703125,0.5975308641975308
17,best_model_epoch_15.pth,"0    0.803571
Name: accuracy, dtype: float64",0.8148148148148148,0.7857142857142857,0.7999999999500165,4.0,0.9333333333333332,1087.9233658768137,280.25079345703125,0.5975308641975308
18,best_model_epoch_14.pth,"0    0.696429
Name: accuracy, dtype: float64",0.6571428571428571,0.8214285714285714,0.7301587301093473,3.869565217391304,0.9355072463768116,1065.513521968366,222.0736389160156,0.5049829931972788
19,best_model_epoch_12.pth,"0    0.803571
Name: accuracy, dtype: float64",0.84,0.75,0.7924528301388395,9.952380952380953,0.8341269841269842,1099.5988362009157,299.6432189941406,0.5255000000000001
20,best_model_epoch_11.pth,"0    0.75
Name: accuracy, dtype: float64",0.71875,0.8214285714285714,0.7666666666168889,4.130434782608695,0.9311594202898552,1073.926355756035,241.46603393554688,0.5497581845238095
21,best_model_epoch_10.pth,"0    0.732143
Name: accuracy, dtype: float64",0.7241379310344828,0.75,0.7368421052131734,4.9523809523809526,0.9174603174603176,1061.354860751494,260.8584289550781,0.4982758620689655
22,best_model_epoch_9.pth,"0    0.714286
Name: accuracy, dtype: float64",0.6666666666666666,0.8148148148148148,0.7333333332838333,4.318181818181818,0.928030303030303,1048.0178249514554,231.7491912841797,0.5041152263374485
23,best_model_epoch_8.pth,"0    0.714286
Name: accuracy, dtype: float64",0.6774193548387096,0.7777777777777778,0.7241379309847206,4.285714285714286,0.9285714285714286,1049.4151586482442,251.1416015625,0.489247311827957
24,best_model_epoch_6.pth,"0    0.696429
Name: accuracy, dtype: float64",0.6470588235294118,0.8148148148148148,0.7213114753604944,6.136363636363637,0.8977272727272727,1051.3900498819935,212.35679626464844,0.4733115468409585
25,best_model_epoch_5.pth,"0    0.607143
Name: accuracy, dtype: float64",0.5641025641025641,0.8148148148148148,0.6666666666183196,5.5,0.9083333333333332,1077.7626158645742,173.572021484375,0.4175055397277619
26,best_model_epoch_3.pth,"0    0.553571
Name: accuracy, dtype: float64",0.5,0.84,0.62686567159501,4.714285714285714,0.9214285714285714,1059.1936531301444,144.50405883789062,0.3869999999999999
27,best_model_epoch_1.pth,"0    0.464286
Name: accuracy, dtype: float64",0.4509803921568627,0.92,0.6052631578505886,6.913043478260869,0.8847826086956522,943.4310635127608,94.26945495605467,0.3670980392156863
28,best_model_epoch_0.pth,"0    0.464286
Name: accuracy, dtype: float64",0.4545454545454545,1.0,0.6249999999570313,3.72,0.938,789.6011256869024,34.46759796142578,0.4263636363636364
