,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch84.pth,"0    0.807692
Name: accuracy, dtype: float64",0.7272727272727273,0.96,0.827586206847503,4.458333333333333,0.9256944444444444,375.9606440663651,224.3094940185547,0.6463030303030302
1,best_model_epoch56.pth,"0    0.711538
Name: accuracy, dtype: float64",0.6388888888888888,0.92,0.7540983606073636,3.608695652173913,0.939855072463768,364.5141357744639,193.00555419921875,0.5524259259259259
2,best_model_epoch42.pth,"0    0.711538
Name: accuracy, dtype: float64",0.6666666666666666,0.8,0.7272727272231404,6.6,0.89,359.6890018631743,257.1742858886719,0.4746666666666667
3,best_model_epoch41.pth,"0    0.673077
Name: accuracy, dtype: float64",0.6111111111111112,0.88,0.721311475361462,3.363636363636364,0.943939393939394,366.1014968174727,194.5218963623047,0.5076296296296297
4,best_model_epoch40.pth,"0    0.75
Name: accuracy, dtype: float64",0.7307692307692307,0.76,0.7450980391657055,50.68421052631579,0.1552631578947368,363.6410005246415,298.9425354003906,0.0862307692307692
5,best_model_epoch35.pth,"0    0.711538
Name: accuracy, dtype: float64",0.7272727272727273,0.64,0.6808510637799909,11.5625,0.8072916666666666,358.52539939956006,341.4106140136719,0.3757575757575757
6,best_model_epoch32.pth,"0    0.634615
Name: accuracy, dtype: float64",0.59375,0.76,0.6666666666174207,7.263157894736842,0.8789473684210526,361.05889092691353,236.29014587402344,0.3966249999999999
7,best_model_epoch27.pth,"0    0.692308
Name: accuracy, dtype: float64",0.6551724137931034,0.76,0.703703703653978,7.631578947368421,0.8728070175438596,354.7609770353979,267.5941162109375,0.4345977011494252
8,best_model_epoch25.pth,"0    0.673077
Name: accuracy, dtype: float64",0.6538461538461539,0.68,0.6666666666166858,6.117647058823529,0.8980392156862745,351.6038754484152,299.642333984375,0.3992820512820513
9,best_model_epoch23.pth,"0    0.596154
Name: accuracy, dtype: float64",0.5625,0.72,0.6315789473191751,3.7222222222222223,0.937962962962963,355.1774288690563,246.70999145507807,0.3798749999999999
10,best_model_epoch21.pth,"0    0.653846
Name: accuracy, dtype: float64",0.6,0.84,0.699999999951389,5.380952380952381,0.9103174603174604,346.98741408723384,204.94174194335935,0.4588
11,best_model_epoch17.pth,"0    0.538462
Name: accuracy, dtype: float64",0.5142857142857142,0.72,0.5999999999513889,4.833333333333333,0.9194444444444444,348.8101306586435,205.6416015625,0.3404571428571428
12,best_model_epoch15.pth,"0    0.557692
Name: accuracy, dtype: float64",0.5277777777777778,0.76,0.622950819623757,4.7368421052631575,0.9210526315789472,353.56087685198,195.2217712402344,0.3694444444444444
13,best_model_epoch14.pth,"0    0.557692
Name: accuracy, dtype: float64",0.5277777777777778,0.76,0.622950819623757,6.7368421052631575,0.887719298245614,354.85597015237414,205.6416015625,0.3560740740740741
14,best_model_epoch13.pth,"0    0.538462
Name: accuracy, dtype: float64",0.5161290322580645,0.64,0.5714285713791454,3.125,0.9479166666666666,369.2825692922526,257.8741455078125,0.3131182795698924
15,best_model_epoch11.pth,"0    0.538462
Name: accuracy, dtype: float64",0.5142857142857142,0.72,0.5999999999513889,7.444444444444445,0.875925925925926,345.9060791495973,216.1058807373047,0.3243428571428571
16,best_model_epoch10.pth,"0    0.519231
Name: accuracy, dtype: float64",0.5,0.8,0.6153846153372781,5.0,0.9166666666666666,365.79043789462855,152.75367736816406,0.3666666666666667
17,best_model_epoch9.pth,"0    0.5
Name: accuracy, dtype: float64",0.4883720930232558,0.84,0.6176470587770329,6.285714285714286,0.8952380952380953,352.0983212303305,121.40528106689452,0.3672558139534884
18,best_model_epoch8.pth,"0    0.557692
Name: accuracy, dtype: float64",0.5238095238095238,0.88,0.6567164178636667,5.545454545454546,0.9075757575757576,332.6379572729504,131.86956787109375,0.4183492063492064
19,best_model_epoch7.pth,"0    0.5
Name: accuracy, dtype: float64",0.4883720930232558,0.84,0.6176470587770329,3.142857142857143,0.9476190476190476,366.2462318076927,122.10514068603516,0.3887441860465115
20,best_model_epoch6.pth,"0    0.557692
Name: accuracy, dtype: float64",0.5217391304347826,0.96,0.676056337982543,5.875,0.9020833333333332,304.005670859734,88.3516845703125,0.4518260869565216
21,best_model_epoch5.pth,"0    0.519231
Name: accuracy, dtype: float64",0.5,0.96,0.6575342465303059,5.0,0.9166666666666666,337.62686319478644,67.46756744384766,0.4399999999999999
22,best_model_epoch3.pth,"0    0.5
Name: accuracy, dtype: float64",0.4893617021276595,0.92,0.6388888888435571,9.565217391304348,0.8405797101449276,368.05066567990906,78.12068939208984,0.3784397163120567
23,best_model_epoch2.pth,"0    0.480769
Name: accuracy, dtype: float64",0.48,0.96,0.6399999999555556,3.0,0.95,229.73392405975704,46.58345031738281,0.43776
24,best_model_epoch1.pth,"0    0.442308
Name: accuracy, dtype: float64",0.46,0.92,0.6133333332888888,2.782608695652174,0.9536231884057972,201.30440465586892,47.51659393310547,0.4035733333333334
25,best_model_epoch0.pth,"0    0.461538
Name: accuracy, dtype: float64",0.4693877551020408,0.92,0.621621621576881,2.6956521739130435,0.955072463768116,209.13219653848705,57.93642807006836,0.4124353741496598
