,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch41.pth,"0    0.788462
Name: accuracy, dtype: float64",0.7692307692307693,0.8,0.7843137254402153,5.7,0.905,184.6499450433716,882.9041748046875,0.5569230769230769
1,best_model_epoch31.pth,"0    0.903846
Name: accuracy, dtype: float64",0.8571428571428571,0.96,0.9056603773086506,3.333333333333333,0.9444444444444444,263.5529803828846,882.9041748046875,0.777142857142857
2,best_model_epoch21.pth,"0    0.903846
Name: accuracy, dtype: float64",0.8571428571428571,0.96,0.9056603773086506,3.6666666666666665,0.9388888888888888,284.8130954177342,882.9041748046875,0.7725714285714285
3,best_model_epoch20.pth,"0    0.865385
Name: accuracy, dtype: float64",0.8461538461538461,0.88,0.8627450979892348,5.181818181818182,0.9136363636363636,282.3720357119259,955.5076904296876,0.6803076923076923
4,best_model_epoch16.pth,"0    0.884615
Name: accuracy, dtype: float64",0.8518518518518519,0.92,0.8846153845654586,5.434782608695652,0.9094202898550724,284.3235406591875,917.8213500976562,0.712716049382716
5,best_model_epoch14.pth,"0    0.788462
Name: accuracy, dtype: float64",0.8947368421052632,0.6538461538461539,0.7555555555067655,55.52941176470589,0.0745098039215686,282.0626412878306,1200.1580810546875,0.0435897435897435
6,best_model_epoch13.pth,"0    0.788462
Name: accuracy, dtype: float64",0.8571428571428571,0.6923076923076923,0.7659574467590766,38.44444444444444,0.3592592592592593,280.22706765690526,1130.3238525390625,0.2131868131868132
7,best_model_epoch12.pth,"0    0.730769
Name: accuracy, dtype: float64",0.8333333333333334,0.5769230769230769,0.6818181817698347,4.466666666666667,0.9255555555555556,285.54023108677023,1235.53662109375,0.4449786324786324
8,best_model_epoch11.pth,"0    0.75
Name: accuracy, dtype: float64",0.8421052631578947,0.6153846153846154,0.7111111110623209,4.375,0.9270833333333334,272.74785841692415,1200.61962890625,0.4804318488529015
9,best_model_epoch10.pth,"0    0.730769
Name: accuracy, dtype: float64",0.8333333333333334,0.5769230769230769,0.6818181817698347,4.666666666666667,0.9222222222222224,272.4990827042204,1235.53662109375,0.4433760683760683
10,best_model_epoch9.pth,"0    0.730769
Name: accuracy, dtype: float64",0.8333333333333334,0.5769230769230769,0.6818181817698347,4.933333333333334,0.9177777777777776,283.4075032544455,1235.53662109375,0.4412393162393161
11,best_model_epoch7.pth,"0    0.673077
Name: accuracy, dtype: float64",0.8461538461538461,0.4230769230769231,0.5641025640581196,6.090909090909091,0.8984848484848484,279.54765728106923,1376.128173828125,0.3216469428007889
12,best_model_epoch6.pth,"0    0.634615
Name: accuracy, dtype: float64",0.8888888888888888,0.3076923076923077,0.4571428571046531,102.0,0.0,306.6432961876734,1515.79638671875,0.0
13,best_model_epoch5.pth,"0    0.519231
Name: accuracy, dtype: float64",1.0,0.0384615384615384,0.074074074066941,726.0,0.0,312.5820844497378,1795.13330078125,0.0
14,best_model_epoch4.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,316.5287333341258,1830.05029296875,0.0
15,best_model_epoch3.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,319.0123139392067,1830.05029296875,0.0
16,best_model_epoch2.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,319.5145161954544,1830.05029296875,0.0
17,best_model_epoch1.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,315.13972228112567,1830.05029296875,0.0
18,best_model_epoch0.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,314.99927748297137,1830.05029296875,0.0
