,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch41.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8333333333333334,0.9523809523809524,0.8888888888391111,4.25,0.9291666666666668,1033154.265838212,458.489013671875,0.7374338624338624
1,best_model_epoch36.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8333333333333334,1.0,0.9090909090413224,3.45,0.9425,1180557.4630841322,458.489013671875,0.7854166666666667
2,best_model_epoch35.pth,"0    0.774194
Name: accuracy, dtype: float64",0.7407407407407407,1.0,0.8510638297383432,3.45,0.9425,919439.6249830646,282.7771911621094,0.6981481481481481
3,best_model_epoch32.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8333333333333334,1.0,0.9090909090413224,6.05,0.8991666666666667,1231796.286917501,458.489013671875,0.7493055555555556
4,best_model_epoch28.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.85,0.9358333333333332,1206531.8910263695,399.9183654785156,0.7486666666666667
5,best_model_epoch26.pth,"0    0.709677
Name: accuracy, dtype: float64",0.6896551724137931,1.0,0.8163265305639317,3.2,0.9466666666666668,691361.247827173,159.05531311035156,0.6528735632183909
6,best_model_epoch24.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.45,0.9425,1178997.1553753372,399.9183654785156,0.754
7,best_model_epoch21.pth,"0    0.774194
Name: accuracy, dtype: float64",0.7407407407407407,1.0,0.8510638297383432,3.35,0.9441666666666666,998769.5569080096,282.7771911621094,0.6993827160493826
8,best_model_epoch20.pth,"0    0.741935
Name: accuracy, dtype: float64",0.7142857142857143,1.0,0.8333333332847221,3.2,0.9466666666666668,891546.3061740507,224.20657348632807,0.6761904761904762
9,best_model_epoch18.pth,"0    0.741935
Name: accuracy, dtype: float64",0.7142857142857143,1.0,0.8333333332847221,3.75,0.9375,887402.4128473534,224.20657348632807,0.6696428571428572
10,best_model_epoch15.pth,"0    0.709677
Name: accuracy, dtype: float64",0.6785714285714286,1.0,0.8085106382497058,3.0,0.95,821518.1142377225,224.20657348632807,0.6446428571428572
11,best_model_epoch12.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,81779.24933884155,37.29312515258789,0.582258064516129
12,best_model_epoch11.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,62928.378731816105,37.29312515258789,0.582258064516129
13,best_model_epoch10.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,19822.610254895488,37.29312515258789,0.582258064516129
14,best_model_epoch9.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,18306.838139891734,37.29312515258789,0.582258064516129
15,best_model_epoch8.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,18455.309682856507,37.29312515258789,0.582258064516129
16,best_model_epoch7.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,18175.561628516512,37.29312515258789,0.582258064516129
17,best_model_epoch6.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,17987.76346893779,37.29312515258789,0.582258064516129
18,best_model_epoch5.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,16830.013380686185,37.29312515258789,0.582258064516129
19,best_model_epoch4.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,18253.865384446646,37.29312515258789,0.582258064516129
20,best_model_epoch3.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,8504.794466338528,37.29312515258789,0.582258064516129
21,best_model_epoch2.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,18655.392804619965,37.29312515258789,0.582258064516129
22,best_model_epoch1.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,15523.33142311366,37.29312515258789,0.582258064516129
23,best_model_epoch0.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,14786.5209888126,37.29312515258789,0.582258064516129
