,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch61.pth,"0    0.903226
Name: accuracy, dtype: float64",0.8695652173913043,1.0,0.9302325580897784,3.4,0.9433333333333334,2191000.569193092,306.09991455078125,0.8202898550724638
1,best_model_epoch57.pth,"0    0.903226
Name: accuracy, dtype: float64",0.8695652173913043,1.0,0.9302325580897784,3.45,0.9425,2197678.4089750126,306.09991455078125,0.8195652173913043
2,best_model_epoch56.pth,"0    0.903226
Name: accuracy, dtype: float64",0.8695652173913043,1.0,0.9302325580897784,3.4,0.9433333333333334,2198517.5258429474,306.09991455078125,0.8202898550724638
3,best_model_epoch54.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8636363636363636,0.95,0.9047619047120182,3.5789473684210527,0.9403508771929824,2258743.89660393,339.4112243652344,0.7715151515151515
4,best_model_epoch53.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8636363636363636,0.95,0.9047619047120182,3.5789473684210527,0.9403508771929824,2251853.6529130456,339.4112243652344,0.7715151515151515
5,best_model_epoch50.pth,"0    0.903226
Name: accuracy, dtype: float64",0.8695652173913043,1.0,0.9302325580897784,3.4,0.9433333333333334,2200782.441460572,306.09991455078125,0.8202898550724638
6,best_model_epoch46.pth,"0    0.903226
Name: accuracy, dtype: float64",0.8695652173913043,1.0,0.9302325580897784,3.45,0.9425,2199047.5209039547,306.09991455078125,0.8195652173913043
7,best_model_epoch45.pth,"0    0.903226
Name: accuracy, dtype: float64",0.8695652173913043,1.0,0.9302325580897784,3.6,0.94,2196154.607106599,306.09991455078125,0.817391304347826
8,best_model_epoch44.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8636363636363636,0.95,0.9047619047120182,3.684210526315789,0.9385964912280702,2255724.301436015,339.4112243652344,0.7700757575757576
9,best_model_epoch40.pth,"0    0.806452
Name: accuracy, dtype: float64",0.76,1.0,0.8636363635872933,3.0,0.95,2132427.192678688,239.0902404785156,0.722
10,best_model_epoch36.pth,"0    0.774194
Name: accuracy, dtype: float64",0.7307692307692307,1.0,0.8444444443956542,3.0,0.95,1614530.3779236504,205.3918609619141,0.6942307692307692
