,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch98.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.3,0.945,928.6383045399808,133.04026794433594,0.7560000000000001
1,best_model_epoch87.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.95,0.9341666666666666,1027.091663838521,133.04026794433594,0.7473333333333333
2,best_model_epoch77.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.15,0.9475,1034.95048736764,133.04026794433594,0.758
3,best_model_epoch69.pth,"0    0.806452
Name: accuracy, dtype: float64",0.7916666666666666,0.95,0.8636363635867768,3.631578947368421,0.9394736842105262,1053.0073358349275,150.51870727539062,0.7065624999999999
4,best_model_epoch68.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,5.2,0.9133333333333332,1053.2659039919656,133.04026794433594,0.7306666666666667
5,best_model_epoch66.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8260869565217391,0.95,0.8837209301828016,5.368421052631579,0.9105263157894736,1067.568005630843,168.0717010498047,0.7145652173913044
6,best_model_epoch65.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.35,0.9441666666666666,1054.2909206762654,133.04026794433594,0.7553333333333333
7,best_model_epoch61.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8333333333333334,1.0,0.9090909090413224,7.7,0.8716666666666666,1047.8813119452925,150.51870727539062,0.7263888888888889
8,best_model_epoch60.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8260869565217391,0.95,0.8837209301828016,3.5789473684210527,0.9403508771929824,1063.616157352212,168.0717010498047,0.7379710144927536
9,best_model_epoch58.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8333333333333334,1.0,0.9090909090413224,7.75,0.8708333333333333,1067.8011175865192,150.51870727539062,0.7256944444444445
10,best_model_epoch53.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,3.35,0.9441666666666666,1062.1321106795792,133.04026794433594,0.7553333333333333
11,best_model_epoch51.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8333333333333334,1.0,0.9090909090413224,7.6,0.8733333333333333,1058.4552962909918,150.51870727539062,0.7277777777777777
12,best_model_epoch50.pth,"0    0.83871
Name: accuracy, dtype: float64",0.8,1.0,0.8888888888395062,7.5,0.875,1072.392716335036,133.04026794433594,0.7000000000000001
13,best_model_epoch44.pth,"0    0.870968
Name: accuracy, dtype: float64",0.8333333333333334,1.0,0.9090909090413224,18.1,0.6983333333333334,1039.7703413938912,150.51870727539062,0.5819444444444445
14,best_model_epoch39.pth,"0    0.806452
Name: accuracy, dtype: float64",0.7692307692307693,1.0,0.8695652173421551,10.6,0.8233333333333334,1057.8121680594702,115.48728942871094,0.6333333333333334
15,best_model_epoch32.pth,"0    0.741935
Name: accuracy, dtype: float64",0.7142857142857143,1.0,0.8333333332847221,17.8,0.7033333333333334,1062.012333255883,80.45586395263672,0.5023809523809524
16,best_model_epoch29.pth,"0    0.645161
Name: accuracy, dtype: float64",0.6333333333333333,1.0,0.7755102040341524,3.0,0.95,1020.4016336534464,40.92428588867188,0.6016666666666666
17,best_model_epoch27.pth,"0    0.645161
Name: accuracy, dtype: float64",0.6333333333333333,1.0,0.7755102040341524,3.0,0.95,1000.0668819196464,40.92428588867188,0.6016666666666666
18,best_model_epoch20.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,332.27842583576273,22.094396591186523,0.582258064516129
19,best_model_epoch16.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,292.35179436531604,22.094396591186523,0.582258064516129
20,best_model_epoch12.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,304.9571207852404,22.094396591186523,0.582258064516129
21,best_model_epoch10.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,309.5823911496816,22.094396591186523,0.582258064516129
22,best_model_epoch9.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,301.70363451128827,22.094396591186523,0.582258064516129
23,best_model_epoch7.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,305.6015312579187,22.094396591186523,0.582258064516129
24,best_model_epoch6.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,309.1381390502491,22.094396591186523,0.582258064516129
25,best_model_epoch5.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,308.5715346873525,22.094396591186523,0.582258064516129
26,best_model_epoch4.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,308.0253820492346,22.094396591186523,0.582258064516129
27,best_model_epoch2.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,313.62236930672543,22.094396591186523,0.582258064516129
28,best_model_epoch1.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,313.1314797884456,22.094396591186523,0.582258064516129
29,best_model_epoch0.pth,"0    0.612903
Name: accuracy, dtype: float64",0.6129032258064516,1.0,0.75999999995288,3.0,0.95,312.5117503529019,22.094396591186523,0.582258064516129
