,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch26.pth,"0    0.807692
Name: accuracy, dtype: float64",0.8,0.8,0.7999999999500002,6.05,0.8991666666666667,455.30918695593687,536.475830078125,0.5754666666666668
1,best_model_epoch23.pth,"0    0.692308
Name: accuracy, dtype: float64",0.6956521739130435,0.64,0.6666666666167534,3.8125,0.9364583333333332,463.2499598702788,596.0518188476562,0.416927536231884
2,best_model_epoch22.pth,"0    0.711538
Name: accuracy, dtype: float64",0.6785714285714286,0.76,0.716981132025632,3.736842105263158,0.937719298245614,482.55864165838216,496.7585754394531,0.4835952380952382
3,best_model_epoch20.pth,"0    0.711538
Name: accuracy, dtype: float64",0.6666666666666666,0.8,0.7272727272231404,6.05,0.8991666666666667,394.2574506872207,476.8998718261719,0.4795555555555555
4,best_model_epoch19.pth,"0    0.692308
Name: accuracy, dtype: float64",0.6666666666666666,0.72,0.6923076922577662,4.055555555555555,0.9324074074074074,351.63175137444927,476.8998718261719,0.4475555555555555
5,best_model_epoch18.pth,"0    0.634615
Name: accuracy, dtype: float64",0.6071428571428571,0.68,0.6415094339124243,2.823529411764706,0.9529411764705884,416.9274304846737,496.7585754394531,0.3934285714285714
6,best_model_epoch17.pth,"0    0.692308
Name: accuracy, dtype: float64",0.6363636363636364,0.84,0.724137930985434,3.0,0.95,354.609167622049,397.4653015136719,0.5078181818181818
7,best_model_epoch16.pth,"0    0.730769
Name: accuracy, dtype: float64",0.7142857142857143,0.7692307692307693,0.7407407406908093,4.65,0.9225,346.23326000448526,496.7585754394531,0.506868131868132
8,best_model_epoch15.pth,"0    0.673077
Name: accuracy, dtype: float64",0.625,0.8,0.7017543859156663,2.7,0.955,367.811598338139,417.3239440917969,0.4775
9,best_model_epoch14.pth,"0    0.75
Name: accuracy, dtype: float64",0.6666666666666666,0.96,0.7868852458532652,4.75,0.9208333333333332,293.61259606286814,357.7480163574219,0.5893333333333333
10,best_model_epoch13.pth,"0    0.692308
Name: accuracy, dtype: float64",0.6285714285714286,0.88,0.7333333332847223,3.4545454545454546,0.9424242424242424,309.62690202269386,357.7480163574219,0.5212952380952381
11,best_model_epoch12.pth,"0    0.711538
Name: accuracy, dtype: float64",0.6388888888888888,0.92,0.7540983606073636,4.173913043478261,0.9304347826086956,303.8849197141377,357.7480163574219,0.5468888888888889
12,best_model_epoch11.pth,"0    0.653846
Name: accuracy, dtype: float64",0.5853658536585366,0.96,0.7272727272256656,3.208333333333333,0.9465277777777776,269.2533399454182,258.4547424316406,0.5319024390243902
13,best_model_epoch10.pth,"0    0.576923
Name: accuracy, dtype: float64",0.5333333333333333,0.96,0.6857142856683675,2.958333333333333,0.9506944444444444,218.49554609702295,179.02012634277344,0.4867555555555555
14,best_model_epoch9.pth,"0    0.576923
Name: accuracy, dtype: float64",0.5319148936170213,1.0,0.6944444443991127,2.76,0.954,213.2798429165084,133.30282592773438,0.5074468085106383
15,best_model_epoch8.pth,"0    0.519231
Name: accuracy, dtype: float64",0.5,1.0,0.6666666666222222,2.72,0.9546666666666668,184.8007749365597,73.72687530517578,0.4773333333333333
16,best_model_epoch7.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,121.67878656532424,28.02879905700684,0.458974358974359
17,best_model_epoch6.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,115.13090577071384,28.02879905700684,0.458974358974359
18,best_model_epoch5.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,114.86125988845,28.02879905700684,0.458974358974359
19,best_model_epoch4.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,113.74107532264944,28.02879905700684,0.458974358974359
20,best_model_epoch3.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,110.61485035494653,28.02879905700684,0.458974358974359
21,best_model_epoch2.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,112.15846207258252,28.02879905700684,0.458974358974359
22,best_model_epoch1.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,150.36344860062874,28.02879905700684,0.458974358974359
23,best_model_epoch0.pth,"0    0.480769
Name: accuracy, dtype: float64",0.4807692307692308,1.0,0.6493506493067971,2.72,0.9546666666666668,114.39086528052331,28.02879905700684,0.458974358974359
