,best_model,accuracy,precision,recall,f-score,and,nand,pfr,mem,fds
0,best_model_epoch66.pth,"0    0.788462
Name: accuracy, dtype: float64",0.75,0.84,0.7924528301388395,3.4285714285714284,0.9428571428571428,465.9437668301062,288.47821044921875,0.594
1,best_model_epoch64.pth,"0    0.826923
Name: accuracy, dtype: float64",0.7857142857142857,0.88,0.8301886791954431,4.045454545454546,0.9325757575757576,458.51128043129154,277.9417419433594,0.6448095238095237
2,best_model_epoch58.pth,"0    0.807692
Name: accuracy, dtype: float64",0.7777777777777778,0.84,0.8076923076423816,3.571428571428572,0.9404761904761904,480.3249714635887,288.47821044921875,0.6144444444444445
3,best_model_epoch47.pth,"0    0.807692
Name: accuracy, dtype: float64",0.7777777777777778,0.84,0.8076923076423816,3.571428571428572,0.9404761904761904,485.3535641878445,288.47821044921875,0.6144444444444445
4,best_model_epoch36.pth,"0    0.788462
Name: accuracy, dtype: float64",0.7916666666666666,0.76,0.7755102040316535,6.157894736842105,0.8973684210526316,452.2842791309523,320.5264892578125,0.5399166666666667
5,best_model_epoch33.pth,"0    0.75
Name: accuracy, dtype: float64",0.7727272727272727,0.68,0.7234042552693527,7.705882352941177,0.8715686274509804,505.6406451383511,341.4106140136719,0.457969696969697
6,best_model_epoch30.pth,"0    0.730769
Name: accuracy, dtype: float64",0.72,0.72,0.71999999995,5.166666666666667,0.913888888888889,486.5582464603861,310.06219482421875,0.47376
7,best_model_epoch28.pth,"0    0.692308
Name: accuracy, dtype: float64",0.68,0.68,0.67999999995,7.705882352941177,0.8715686274509804,456.0892629342108,310.06219482421875,0.4030133333333334
8,best_model_epoch25.pth,"0    0.730769
Name: accuracy, dtype: float64",0.72,0.72,0.71999999995,43.72222222222222,0.2712962962962963,435.7142184234559,310.06219482421875,0.14064
9,best_model_epoch22.pth,"0    0.673077
Name: accuracy, dtype: float64",0.6818181818181818,0.6,0.6382978722906292,13.533333333333331,0.7744444444444445,464.93759412072177,341.4106140136719,0.3168181818181818
10,best_model_epoch21.pth,"0    0.692308
Name: accuracy, dtype: float64",0.6666666666666666,0.72,0.6923076922577662,4.111111111111111,0.9314814814814816,454.27449662200985,289.1780700683594,0.447111111111111
11,best_model_epoch19.pth,"0    0.653846
Name: accuracy, dtype: float64",0.6818181818181818,0.5769230769230769,0.624999999950347,4.466666666666667,0.9255555555555556,453.7454677555121,341.4106140136719,0.3640734265734265
12,best_model_epoch18.pth,"0    0.692308
Name: accuracy, dtype: float64",0.68,0.68,0.67999999995,11.411764705882351,0.8098039215686275,456.5022965035418,310.06219482421875,0.3744533333333334
13,best_model_epoch17.pth,"0    0.673077
Name: accuracy, dtype: float64",0.7142857142857143,0.5769230769230769,0.6382978722909914,3.1333333333333333,0.9477777777777778,448.7112844426324,341.4106140136719,0.3905677655677655
14,best_model_epoch15.pth,"0    0.653846
Name: accuracy, dtype: float64",0.6666666666666666,0.6153846153846154,0.6399999999500801,10.5625,0.8239583333333333,427.6906102877706,320.5264892578125,0.338034188034188
15,best_model_epoch14.pth,"0    0.634615
Name: accuracy, dtype: float64",0.6842105263157895,0.5,0.5777777777289878,3.076923076923077,0.9487179487179488,437.296016112384,362.2947082519531,0.3245614035087719
16,best_model_epoch13.pth,"0    0.634615
Name: accuracy, dtype: float64",0.6842105263157895,0.5,0.5777777777289878,3.076923076923077,0.9487179487179488,454.4834738496451,362.2947082519531,0.3245614035087719
17,best_model_epoch11.pth,"0    0.634615
Name: accuracy, dtype: float64",0.6842105263157895,0.5,0.5777777777289878,3.076923076923077,0.9487179487179488,447.8426488833618,362.2947082519531,0.3245614035087719
18,best_model_epoch10.pth,"0    0.634615
Name: accuracy, dtype: float64",0.6842105263157895,0.5,0.5777777777289878,3.076923076923077,0.9487179487179488,436.8978990565985,362.2947082519531,0.3245614035087719
19,best_model_epoch9.pth,"0    0.615385
Name: accuracy, dtype: float64",0.6666666666666666,0.4615384615384615,0.5454545454061984,3.083333333333333,0.9486111111111112,475.5341468821055,372.7145385742188,0.2918803418803419
20,best_model_epoch8.pth,"0    0.596154
Name: accuracy, dtype: float64",0.6470588235294118,0.4230769230769231,0.5116279069289347,2.909090909090909,0.9515151515151516,445.6791964063994,383.1788330078125,0.2604826546003017
21,best_model_epoch7.pth,"0    0.596154
Name: accuracy, dtype: float64",0.6470588235294118,0.4230769230769231,0.5116279069289347,2.727272727272727,0.9545454545454546,447.87330415695175,383.1788330078125,0.2613122171945701
22,best_model_epoch6.pth,"0    0.596154
Name: accuracy, dtype: float64",0.6470588235294118,0.4230769230769231,0.5116279069289347,77.45454545454545,0.0,481.68012373073583,383.1788330078125,0.0
23,best_model_epoch5.pth,"0    0.576923
Name: accuracy, dtype: float64",0.6666666666666666,0.3076923076923077,0.4210526315357341,43.125,0.28125,501.6012168315761,435.3669738769531,0.0576923076923076
24,best_model_epoch4.pth,"0    0.519231
Name: accuracy, dtype: float64",0.5714285714285714,0.1538461538461538,0.2424242423908172,93.5,0.0,469.5699396752625,487.5994262695313,0.0
25,best_model_epoch3.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,514.1963932953014,560.671630859375,0.0
26,best_model_epoch2.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,550.330968942363,560.671630859375,0.0
27,best_model_epoch1.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,537.8710293676295,560.671630859375,0.0
28,best_model_epoch0.pth,"0    0.5
Name: accuracy, dtype: float64",0.0,0.0,0.0,inf,0.0,549.1976613493331,560.671630859375,0.0
